,movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
89,The Adventures of Huck Finn,1993-04-02,Adventure,PG,24103594.0,49080505.0
90,Indian Summer,1993-04-23,Comedy,R,14717851.0,29968953.0
91,Super Mario Bros.,1993-05-28,Action,PG,20844907.0,42445058.0
92,Guilty as Sin,1993-06-04,Thriller/Suspense,R,22622537.0,46064723.0
93,Life With Mikey,1993-06-04,Comedy,PG,12349549.0,25146538.0
94,What's Love Got to Do With It,1993-06-09,Drama,R,39100956.0,79618610.0
95,Son in Law,1993-07-02,Comedy,PG-13,25989889.0,52921433.0
96,Hocus Pocus,1993-07-16,Comedy,PG,39360491.0,80147079.0
97,Another Stakeout,1993-07-23,Comedy,PG-13,20107504.0,40943541.0
98,The Joy Luck Club,1993-09-08,Drama,R,32790064.0,66768171.0
99,Money for Nothing,1993-09-10,Comedy,R,1044824.0,2127496.0
100,The Program,1993-09-24,Action,R,23042200.0,46919256.0
101,Cool Runnings,1993-10-01,Comedy,PG,68856263.0,140392731.0
102,The Nightmare Before Christmas,1993-10-13,Musical,PG,50408318.0,100026637.0
103,The Three Musketeers,1993-11-12,Adventure,PG,53661805.0,109310377.0
104,Sister Act 2 Back in the Habit,1993-12-10,Comedy,PG,57319029.0,116965668.0
105,Tombstone,1993-12-25,Western,R,56505065.0,115781734.0
106,The Air Up There,1994-01-07,Comedy,PG,20782439.0,42940186.0
107,Cabin Boy,1994-01-07,Comedy,PG-13,3469493.0,7168577.0
108,Iron Will,1994-01-14,Drama,PG,20623071.0,42610902.0
109,Blank Check,1994-02-11,Comedy,PG,30573770.0,63170804.0
110,Angie,1994-03-04,Comedy,R,9252349.0,19116981.0
111,The Ref,1994-03-09,Comedy,R,11325885.0,23401275.0
112,D2: The Mighty Ducks,1994-03-25,Comedy,PG,45604206.0,94226333.0
115,When a Man Loves a Woman,1994-04-29,Drama,R,50021959.0,103354194.0
116,3 Ninjas Kick Back,1994-05-06,Action,PG,11744960.0,24267154.0
117,Renaissance Man,1994-06-03,Comedy,PG-13,24172899.0,49945474.0
118,The Lion King,1994-06-15,Adventure,G,422780140.0,761640898.0
119,I Love Trouble,1994-06-29,Romantic Comedy,PG,30806194.0,63651027.0
120,Angels in the Outfield,1994-07-15,Comedy,PG,50236831.0,103798152.0
122,Color of Night,1994-08-19,Thriller/Suspense,R,19750470.0,40804816.0
123,Camp Nowhere,1994-08-26,Comedy,PG,10442641.0,21576332.0
124,A Simple Twist of Fate,1994-09-02,Drama,PG-13,3404935.0,7035189.0
125,Quiz Show,1994-09-14,Drama,PG-13,24787282.0,50840394.0
126,Terminal Velocity,1994-09-23,Action,PG-13,16478900.0,34048315.0
127,Ed Wood,1994-09-30,Comedy,R,5828466.0,12042634.0
128,The Puppet Masters,1994-10-21,Horror,R,8579626.0,17727017.0
129,Squanto: A Warrior's Tale,1994-10-28,Drama,PG,3319344.0,6858345.0
130,The Santa Clause,1994-11-11,Comedy,PG,144833357.0,298369717.0
131,A Low Down Dirty Shame,1994-11-23,Action,R,29317886.0,60321919.0
132,The Jungle Book,1994-12-25,Adventure,PG,44342956.0,88930321.0
134,Bad Company,1995-01-20,Thriller/Suspense,R,3523909.0,6829092.0
135,Miami Rhapsody,1995-01-27,Romantic Comedy,PG-13,5086578.0,9857435.0
136,The Jerky Boys,1995-02-03,Comedy,R,7555256.0,14641561.0
137,Heavy Weights,1995-02-17,Comedy,PG,17671310.0,34245779.0
138,Man of the House,1995-03-03,Comedy,PG,40029009.0,77573459.0
139,Roommates,1995-03-03,Comedy,PG,12076989.0,23404369.0
141,A Pyromaniac's Love Story,1995-03-28,Romantic Comedy,PG,468240.0,907414.0
142,Jefferson in Paris,1995-03-31,Drama,PG-13,2461628.0,4770461.0
143,Funny Bones,1995-03-31,Comedy,R,529135.0,1025425.0
145,While You Were Sleeping,1995-04-21,Romantic Comedy,PG,81057016.0,157082900.0
146,Crimson Tide,1995-05-12,Action,R,91387195.0,177102077.0
147,Mad Love,1995-05-26,Drama,PG-13,15446532.0,29934306.0
148,Pocahontas,1995-06-10,Adventure,G,141579773.0,274370957.0
149,Judge Dredd,1995-06-30,Action,R,34687912.0,67222776.0
150,Operation Dumbo Drop,1995-07-28,Adventure,PG,24670346.0,47809421.0
151,Dangerous Minds,1995-08-11,Drama,R,84919401.0,164552293.0
152,A Kid in King Arthur's Court,1995-08-11,Adventure,PG,13406717.0,25981285.0
154,Unstrung Heroes,1995-09-15,Drama,PG,7929000.0,15365850.0
155,The Big Green,1995-09-29,Comedy,PG,17736619.0,34372339.0
156,Dead Presidents,1995-10-04,Drama,R,24120194.0,46741467.0
158,Feast of July,1995-10-13,Drama,R,293274.0,568342.0
159,Powder,1995-10-27,Drama,PG-13,30833914.0,59727216.0
160,Toy Story,1995-11-22,Adventure,G,191796233.0,370409631.0
161,Father of the Bride Part II,1995-12-08,Comedy,PG,76578911.0,147658438.0
162,Nixon,1995-12-20,Drama,R,13668249.0,26302005.0
163,Tom and Huck,1995-12-22,Adventure,PG,23837227.0,45911517.0
164,Mr. Holland's Opus,1995-12-29,Drama,PG,82582604.0,157508868.0
165,White Squall,1996-02-02,Adventure,PG-13,10229300.0,19509726.0
166,Muppet Treasure Island,1996-02-16,Adventure,G,34327391.0,65470567.0
167,Mr. Wrong,1996-02-16,Romantic Comedy,PG-13,12805071.0,24422334.0
168,Before and After,1996-02-23,Drama,PG-13,8642118.0,16482589.0
169,Up Close & Personal,1996-03-01,Drama,PG-13,51045801.0,97356578.0
170,Homeward Bound II: Lost in San Franc…,1996-03-08,Adventure,G,32709423.0,62384706.0
171,Two Much,1996-03-15,Romantic Comedy,PG-13,1078555.0,2057055.0
172,Un indien dans la ville,1996-03-22,Comedy,PG,1029731.0,1963937.0
173,James and the Giant Peach,1996-04-12,Adventure,PG,28921264.0,55159783.0
174,Celtic Pride,1996-04-19,Comedy,PG-13,9240378.0,17623615.0
175,Last Dance,1996-05-03,Drama,R,5857534.0,11171714.0
176,Boys,1996-05-10,Drama,PG-13,21930418.0,41826566.0
177,Spy Hard,1996-05-24,Comedy,PG-13,26936265.0,51373912.0
178,Eddie,1996-05-31,Comedy,PG-13,31369401.0,59828966.0
179,The Rock,1996-06-07,Action,R,134069511.0,255702705.0
181,Phenomenon,1996-07-05,Drama,PG,104636382.0,199559799.0
182,Kazaam,1996-07-17,Comedy,PG,18880508.0,36009655.0
183,Jack,1996-08-09,Drama,PG-13,58617334.0,111792852.0
184,First Kid,1996-08-30,Comedy,PG,26465920.0,50465108.0
185,The Rich Man's Wife,1996-09-13,Thriller/Suspense,R,8538318.0,16284619.0
186,D3: The Mighty Ducks,1996-10-04,Comedy,PG,22936273.0,43713554.0
187,The Associate,1996-10-25,Comedy,PG-13,12772657.0,24333094.0
188,Ransom,1996-11-08,Action,R,136492681.0,259807820.0
189,101 Dalmatians,1996-11-27,Comedy,G,136189294.0,258728898.0
190,The Preacher's Wife,1996-12-13,Drama,PG,48102795.0,91076877.0
191,Evita,1996-12-25,Musical,PG,50047179.0,92077628.0
192,Metro,1997-01-17,Action,R,32017895.0,58804106.0
193,Prefontaine,1997-01-24,Drama,PG-13,590817.0,1085093.0
194,Shadow Conspiracy,1997-01-31,Thriller/Suspense,R,2154540.0,3957025.0
195,That Darn Cat,1997-02-14,Comedy,PG,18301828.0,33613158.0
196,Jungle 2 Jungle,1997-03-07,Comedy,PG,59925026.0,110058379.0
197,The Sixth Man,1997-03-28,Comedy,PG-13,14765099.0,27117599.0
198,Grosse Pointe Blank,1997-04-11,Black Comedy,R,28084357.0,51579764.0
199,Romy and Michele's High School Reunion,1997-04-25,Comedy,R,29235353.0,53693680.0
200,Gone Fishin',1997-05-30,Comedy,PG,19745922.0,36265379.0
201,Con Air,1997-06-06,Action,R,101117573.0,185712664.0
202,Hercules,1997-06-13,Adventure,G,99112101.0,182029412.0
203,George Of The Jungle,1997-07-16,Comedy,PG,105263257.0,193326632.0
204,Nothing To Lose,1997-07-18,Comedy,R,44480039.0,81692095.0
205,Air Bud,1997-08-01,Comedy,PG,24646936.0,45266588.0
206,G.I. Jane,1997-08-22,Drama,R,48169156.0,88467531.0
207,A Thousand Acres,1997-09-19,Drama,R,7928412.0,14561324.0
208,Washington Square,1997-10-05,Drama,PG,1775644.0,3257546.0
209,Rocket Man,1997-10-10,Comedy,PG,15448043.0,28371890.0
210,Playing God,1997-10-17,Thriller/Suspense,R,4166918.0,7652965.0
211,Flubber,1997-11-26,Comedy,PG,92993801.0,170406423.0
212,An American Werewolf in Paris,1997-12-25,Horror,R,26570463.0,48546161.0
213,Mr. Magoo,1997-12-25,Comedy,PG,21437192.0,39145784.0
215,Deep Rising,1998-01-30,Action,R,11203026.0,20136775.0
216,Krippendorf's Tribe,1998-02-27,Comedy,PG-13,7571115.0,13608633.0
217,An Alan Smithee Film: Burn Hollywood …,1998-02-27,Comedy,R,45779.0,82277.0
218,Meet the Deedles,1998-03-27,Comedy,PG,4356126.0,7829877.0
219,He Got Game,1998-05-01,Drama,R,21567853.0,38766948.0
220,The Horse Whisperer,1998-05-15,Drama,PG-13,75383563.0,135497531.0
221,"Six Days, Seven Nights",1998-06-12,Romantic Comedy,PG-13,74339294.0,133620516.0
222,Mulan,1998-06-19,Adventure,G,120620254.0,216807832.0
223,Armageddon,1998-07-01,Adventure,PG-13,201578182.0,362324957.0
224,Jane Austen's Mafia,1998-07-24,Comedy,PG-13,19843795.0,35668055.0
226,Firelight,1998-09-04,Drama,R,784419.0,1409943.0
227,Simon Birch,1998-09-11,Drama,PG,18253415.0,32809442.0
228,Holy Man,1998-10-09,Comedy,PG,12069719.0,21694605.0
229,Beloved,1998-10-16,Drama,R,22852487.0,41062682.0
230,The Waterboy,1998-11-06,Comedy,PG-13,161491646.0,288691833.0
231,I'll Be Home For Christmas,1998-11-13,Comedy,PG,12214338.0,21941840.0
232,A Bug's Life,1998-11-20,Adventure,G,162798565.0,288981698.0
234,Rushmore,1998-12-11,Black Comedy,R,17105219.0,28392518.0
235,A Civil Action,1998-12-25,Drama,PG-13,56709981.0,94139530.0
236,Mighty Joe Young,1998-12-25,Adventure,PG,50632037.0,87906042.0
237,My Favorite Martian,1999-02-12,Comedy,PG,36850101.0,61150849.0
238,The Other Sister,1999-02-26,Romantic Comedy,PG-13,27807627.0,46145331.0
239,Doug's 1st Movie,1999-03-26,Adventure,G,19421271.0,32228598.0
240,Ten Things I Hate About You,1999-03-31,Romantic Comedy,PG-13,38177966.0,63354375.0
241,Instinct,1999-06-04,Drama,R,34105207.0,56595842.0
242,Tarzan,1999-06-16,Adventure,G,171091819.0,283900254.0
243,Summer of Sam,1999-07-02,Drama,R,19288130.0,32007656.0
244,Inspector Gadget,1999-07-23,Comedy,PG,97387965.0,161610341.0
245,The Sixth Sense,1999-08-06,Thriller/Suspense,PG-13,293506292.0,485424724.0
247,Breakfast of Champions,1999-09-17,Comedy,R,178287.0,295851.0
248,Mumford,1999-09-24,Comedy,R,4559569.0,7566363.0
249,"Mystery, Alaska",1999-10-01,Comedy,R,8891623.0,14755189.0
250,The Straight Story,1999-10-15,Drama,G,6197866.0,10111144.0
251,The Insider,1999-11-05,Drama,R,28965197.0,47794214.0
252,Toy Story 2,1999-11-19,Adventure,G,245852179.0,404450426.0
253,Cradle Will Rock,1999-12-08,Drama,R,2899970.0,4609153.0
254,Deuce Bigalow: Male Gigolo,1999-12-10,Comedy,R,65535067.0,106921374.0
255,Bicentennial Man,1999-12-17,Drama,PG,58220776.0,94838225.0
257,Fantasia 2000 (IMAX),2000-01-01,Musical,G,60507228.0,94852354.0
258,Gun Shy,2000-02-04,Comedy,R,1638202.0,2562155.0
259,The Tigger Movie,2000-02-11,Adventure,G,45542421.0,71228678.0
260,Mission to Mars,2000-03-10,Adventure,PG,60874615.0,95208344.0
262,Keeping the Faith,2000-04-14,Romantic Comedy,PG-13,37036404.0,57925202.0
263,Dinosaur,2000-05-19,Adventure,PG,137748063.0,215438985.0
264,Shanghai Noon,2000-05-26,Western,PG-13,56932305.0,89042541.0
265,Gone in 60 Seconds,2000-06-09,Action,PG-13,101643008.0,158970411.0
267,The Kid,2000-07-07,Comedy,PG,69688384.0,108993148.0
268,Coyote Ugly,2000-08-04,Drama,PG-13,60786269.0,95070168.0
269,The Crew,2000-08-25,Comedy,PG-13,13019253.0,20362201.0
270,Duets,2000-09-15,Drama,R,4734235.0,7404372.0
271,Remember the Titans,2000-09-29,Drama,PG,115654751.0,180742479.0
273,102 Dalmatians,2000-11-22,Comedy,G,66941559.0,104055039.0
275,"O Brother, Where Art Thou?",2000-12-22,Comedy,PG-13,45506619.0,67922002.0
276,Double Take,2001-01-12,Action,PG-13,29823162.0,44418589.0
277,Recess: School's Out,2001-02-16,Comedy,G,36696761.0,54656124.0
278,Just Visiting,2001-04-06,Comedy,PG-13,4777007.0,7114869.0
279,Pearl Harbor,2001-05-25,Action,PG-13,198539855.0,295705112.0
280,Atlantis: The Lost Empire,2001-06-08,Adventure,PG,84052762.0,125188122.0
281,crazy/beautiful,2001-06-29,Drama,PG-13,16929123.0,25214223.0
283,Bubble Boy,2001-08-24,Comedy,PG-13,5002310.0,7450434.0
286,"Monsters, Inc.",2001-11-02,Adventure,G,289423425.0,416073179.0
287,Out Cold,2001-11-21,Comedy,PG-13,13906394.0,20700691.0
288,The Royal Tenenbaums,2001-12-14,Black Comedy,R,52353636.0,76758193.0
289,Beauty and the Beast (IMAX),2002-01-01,Musical,G,25487028.0,36980311.0
290,Snow Dogs,2002-01-18,Comedy,PG,81150692.0,117745317.0
291,The Count of Monte Cristo,2002-01-25,Drama,PG-13,54228104.0,78682079.0
293,Reign of Fire,2002-02-19,Action,PG-13,43061982.0,62480631.0
294,Sorority Boys,2002-03-22,Comedy,R,10198766.0,14797862.0
295,The Rookie,2002-03-29,Drama,G,75600072.0,109691666.0
296,Big Trouble,2002-04-05,Comedy,PG-13,7262288.0,10537188.0
297,ESPN's Ultimate X - The Movie,2002-05-10,Documentary,PG,4197175.0,6089874.0
298,Bad Company,2002-06-07,Action,PG-13,30157016.0,43756218.0
300,The Country Bears,2002-07-26,Adventure,G,16988996.0,24650121.0
301,Signs,2002-08-02,Thriller/Suspense,PG-13,227965690.0,330754439.0
302,Sen to Chihiro no Kamikakushi,2002-09-20,Adventure,PG,10049886.0,14338992.0
303,Sweet Home Alabama,2002-09-27,Comedy,PG-13,127214072.0,184521151.0
304,Moonlight Mile,2002-09-27,Drama,PG-13,6830957.0,9909094.0
305,Tuck Everlasting,2002-10-11,Drama,PG,19161999.0,27789959.0
306,The Santa Clause 2,2002-11-01,Comedy,G,139225854.0,201959095.0
307,Treasure Planet,2002-11-27,Adventure,PG,38120554.0,55189145.0
308,The Hot Chick,2002-12-13,Comedy,PG-13,35081550.0,50624654.0
310,The Recruit,2003-01-31,Thriller/Suspense,PG-13,52784696.0,73793522.0
311,Shanghai Knights,2003-02-07,Adventure,PG-13,60470220.0,84537962.0
312,The Jungle Book 2,2003-02-14,Adventure,G,47901582.0,66966883.0
313,Bringing Down the House,2003-03-07,Comedy,PG-13,132675402.0,185481530.0
314,Piglet's Big Movie,2003-03-21,Comedy,G,23103423.0,32298812.0
317,The Lizzie McGuire Movie,2003-05-02,Comedy,PG,42734455.0,59743191.0
318,Finding Nemo,2003-05-30,Adventure,G,380529370.0,518148559.0
319,Pirates of the Caribbean: The Curse o…,2003-07-09,Adventure,PG-13,305411224.0,426967926.0
321,Open Range,2003-08-15,Western,R,58331254.0,81547672.0
322,Cold Creek Manor,2003-09-19,Thriller/Suspense,R,21384035.0,29895090.0
323,Under the Tuscan Sun,2003-09-26,Comedy,PG-13,43601508.0,60944053.0
324,Veronica Guerin,2003-10-17,Drama,R,1569918.0,2194759.0
325,Brother Bear,2003-10-24,Adventure,G,85336277.0,119218333.0
326,The Haunted Mansion,2003-11-26,Comedy,PG,75817994.0,105775678.0
327,Calendar Girls,2003-12-19,Comedy,PG-13,31011616.0,42379650.0
328,Young Black Stallion,2003-12-25,Adventure,G,6751389.0,9254344.0
329,Teacher's Pet: The Movie,2004-01-16,Comedy,PG,6491969.0,8812764.0
330,Miracle,2004-02-06,Drama,PG,64378093.0,87392478.0
331,Confessions of a Teenage Drama Queen,2004-02-20,Comedy,PG,29331068.0,39816568.0
332,Hidalgo,2004-03-05,Western,PG-13,67286731.0,91340921.0
333,The Ladykillers,2004-03-26,Comedy,R,39692139.0,53881593.0
334,Home on the Range,2004-04-02,Comedy,PG,50026353.0,67910166.0
335,The Alamo,2004-04-09,Western,PG-13,22406362.0,30416359.0
337,Around the World in 80 Days,2004-06-16,Adventure,PG,24004159.0,32585356.0
338,America's Heart and Soul,2004-07-02,Documentary,Not Rated,314000.0,426246.0
339,King Arthur,2004-07-07,Adventure,PG-13,51877963.0,70423706.0
340,The Village,2004-07-30,Thriller/Suspense,PG-13,114197520.0,155021748.0
341,The Princess Diaries 2: Royal Engagement,2004-08-11,Romantic Comedy,G,95149435.0,129164207.0
342,Mr. 3000,2004-09-17,Comedy,PG-13,21800302.0,29593641.0
343,The Last Shot,2004-09-24,Comedy,R,463730.0,629502.0
345,The Incredibles,2004-11-05,Adventure,PG,261441092.0,354488708.0
346,National Treasure,2004-11-19,Adventure,PG,173005002.0,234069353.0
347,The Life Aquatic with Steve Zissou,2004-12-10,Comedy,R,24006726.0,32198655.0
348,Aliens of the Deep,2005-01-28,Documentary,G,8968684.0,11740942.0
349,Pooh's Heffalump Movie,2005-02-11,Adventure,G,18098433.0,23801835.0
350,The Pacifier,2005-03-04,Comedy,PG,113006880.0,148619029.0
351,Ice Princess,2005-03-18,Comedy,G,24381334.0,32064685.0
354,Hauru no ugoku shiro,2005-06-10,Adventure,PG,4710455.0,6194870.0
355,Herbie: Fully Loaded,2005-06-22,Comedy,G,66010682.0,86812798.0
356,Dark Water,2005-07-08,Thriller/Suspense,PG-13,25473093.0,33500491.0
357,Sky High,2005-07-29,Adventure,PG,63939454.0,84088854.0
358,Valiant,2005-08-19,Adventure,G,19478106.0,25616292.0
359,Flightplan,2005-09-23,Thriller/Suspense,PG-13,89706988.0,117960425.0
360,The Greatest Game Ever Played,2005-09-30,Drama,PG,15331289.0,20162672.0
361,Shopgirl,2005-10-21,Drama,R,10284523.0,13519621.0
362,Chicken Little,2005-11-04,Adventure,G,135386665.0,177954661.0
363,"The Chronicles of Narnia: The Lion, t…",2005-12-09,Adventure,PG,291710957.0,381557539.0
364,Casanova,2005-12-25,Drama,R,11304403.0,14574087.0
365,Glory Road,2006-01-13,Drama,PG,42647449.0,54888236.0
366,Annapolis,2006-01-27,Drama,PG-13,17127992.0,22044113.0
367,Roving Mars,2006-01-27,Documentary,G,10407978.0,12948025.0
368,Eight Below,2006-02-17,Adventure,PG,81612565.0,105037235.0
369,The Shaggy Dog,2006-03-10,Comedy,PG,61123569.0,78667428.0
370,Stay Alive,2006-03-24,Horror,PG-13,23086480.0,29712825.0
371,The Wild,2006-04-14,Adventure,G,37384046.0,48114115.0
373,Goal! The Dream Begins,2006-05-12,Drama,PG,4283255.0,5512647.0
374,Cars,2006-06-09,Comedy,G,244082982.0,314140384.0
375,Pirates of the Caribbean: Dead Man’…,2006-07-07,Adventure,PG-13,423315812.0,544817142.0
376,Step Up,2006-08-11,Drama,PG-13,65328121.0,84078780.0
377,Invincible,2006-08-25,Drama,PG,57806952.0,74398864.0
378,The Guardian,2006-09-29,Action,PG-13,55011732.0,70801353.0
379,The Prestige,2006-10-20,Thriller/Suspense,PG-13,53089891.0,68289913.0
380,Tim Burton's The Nightmare Before Chr…,2006-10-20,Musical,PG,24732041.0,30737517.0
381,The Santa Clause 3: The Escape Clause,2006-11-03,Comedy,G,84500122.0,108694869.0
382,Déjà Vu,2006-11-22,Thriller/Suspense,PG-13,64038616.0,82267038.0
383,Apocalypto,2006-12-08,Adventure,R,50866635.0,64959548.0
384,Primeval,2007-01-12,Adventure,R,10597734.0,12985302.0
